"Nr","Frage","Antwort"
1,"Wo finde ich die Texte für die Webseitendatenschutzerklärung?","Texte für die Webseiten-Datenschutzerklärung finden Sie in Kapitel 8 des Datenschutz-Kit."
2,"Wo finde ich Textgeneratoren für die Webseiten-Datenschutzerklärung?","Wir bieten auf unserer Webseite im Bereich ""FreeTools"" entsprechende Textgeneratoren an: https://www.iitr.de/datenschutz-tools"
3,"Können Sie eine andere E-Mail-Adresse als Zugriffberechtigten hinterlegen?","Wir können eine andere E-Mailadresse für den Login in unser Management-System hinterlegen. Bitte schreiben Sie uns unter Angabe von Vornamen, Nachnamen und E-Mailadresse der zu hinterlegenden Person eine Nachricht an folgende Mailadresse: dskit@iitr.de"
4,"Wie kann ein weiterer Mitarbeiter auf das Datenschutz-Kit zugreifen?","Wir richten gerne einen weiteren Benutzerzugang ein. Bitte schicken Sie uns ein E-Mail an dskit@iitr.de unter Angabe des Vor- und Nachnamens sowie der entsprechenden Email Adresse."
5,"Habe ich das richtig verstanden, bei wiederholtem Besuch der Plattform jedes Mal einen neuen Zugangslink anfordern zu müssen?","Das Login-Verfahren ist standardmäßig auf eine passwortfreie Anmeldung (Magic-Link) eingestellt. Wenn Sie wünschen, richten wir Ihnen gerne einen passwortgestützten Zugang ein. Senden Sie uns dazu eine Nachricht an dskit@iitr.de"
6,"Wie häufig sollte ich meine Mitarbeiterinnen und Mitarbeiter schulen?","Die Datenschutz Schulung der Mitarbeiter sollte mindestens einmal im Jahr erfolgen. - Dies ergibt sich aus der Erwartung der deutschen Datenschutz-Aufsichtsbehörden."
7,"Wir brauchen tiefergehende Beratung, wie können Sie uns da helfen?","Wir können die Beratung im Rahmen einer Beratungsstunde zu 180€ netto (Abrechnung im 10-Minuten-Takt) darstellen oder ein Upgrade auf das Datenschutz-Kit Plus anbieten, sofern Sie dieses nicht bereits bestellt haben. Das Datenschutz-Kit Plus beinhaltet neben einem Onboarding auch ein umfassendes Beratungskontingent und ein jährliches Audit, sowie umfassenden Zugriff auf alle eLearning Schulungen. Bei näherem Interesse können Sie uns gerne unter dskit@iitr.de kontaktieren."
8,"Zu welchem Termin kann ich den Vertrag mit Ihnen kündigen?","Der Bestellvertrag hat eine feste Laufzeit ab dem Bestelldatum und die Laufzeit verlängert sich automatisch, sofern keine Kündigung erfolgt. Eine Kündigung muss drei Monate vor Vertragsende schriftlich erfolgen. Bitte senden Sie uns hierzu eine E-Mail an dskit@iitr.de"
9,"Wo finde ich eine Vorlage für eine Datenschutzverpflichtung?","Eine Vorlage für die Verpflichtung auf die Einhaltung des Datenschutzes erhalten Sie im Kapitel 09. des Datenschutz-Kits."
10,"Womit fängt man im Datenschutz-Kit an?","Wenn Sie mit der Umsetzung des Datenschutzes beginnen, empfehlen wir zunächst, die sogenannten Basisthemen, insbesondere Datenschutz-Dokumentationen in Kapitel 02. und Kapitel 04., Dienstleister-Management in Kapitel 05., IT-Sicherheit in Kapitel 06., Sensibilisierung der Mitarbeiter im Bereich ""eLearning"" zu adressieren."
11,"Wo finde ich Mustervorlagen für AV-Verträge","Eine Vorlage zur Erstellung einer Auftragsverarbeitungs-Vereinbarung erhalten Sie in Kapitel 05. des Datenschutz-Kits."
12,"Wir haben wahrscheinlich eine Datenschutzverletzung, was ist zu tun?","Bitte laden Sie sich in Kapitel 10. im Datenschutz-Kit das Dokument ""Interne Meldung Datenschutzverletzung"" herunter und füllen dieses aus. Das ausgefüllte Dokument sollten Sie sodann zur Prüfung an dskit@iitr.de senden. Unsere Berater beurteilen sodann, ob es sich hier um eine (meldepflichtige) Datenschutzverletzung handelt."
13,"Ein Kunde bittet um Auskunft über seine Daten, wie erteile ich so eine Auskunft?","Sie sollten dem Kunden binnen eines Monats die entsprechende Auskunft erteilen. Für die Beantwortung des Auskunftsersuchens können Sie das Dokument ""Beantwortung Auskunftsersuchen"" in Kapitel 07. des Datenschutz-Kits verwenden."
14,"Können Sie meine Datenschutz-Unterlagen prüfen?","Wir überprüfen Ihren allgemein Datenschutz-Status anhand der im Datenschutz-Kit hinterlegten Unterlagen. Hierfür sollten die einzelnen Kapitel bearbeitet und die Nachweise im Datenschutz-Kit hochgeladen sein. Sie erhalten einen umfassenden Audit-Report über Ihren Datenschutz-Status. Der Aufwand hierfür beträgt 360,- EUR zzgl. USt. Bitte senden Sie uns für die Beauftragung eine E-Mail an dskit@iitr.de"
