Testfragen,Erwartete Antwort
Wo finde ich die Texte für die Webseitengestaltung? ,Texte für die Webseiten-Datenschutzerklärung finden Sie in Kapitel 8 des Datenschutz-Kit.
Bieten Sie auch Textgeneratoren für die Webseite? ,"Wir bieten auf unserer Webseite im Bereich ""FreeTools"" entsprechende Textgeneratoren an."
Können Sie eine andere E-Mail-Adresse als Zugriffberechtigten hinterlegen?,"Wir können eine andere E-Mailadresse für den Login in unser Management-System hinterlegen. Bitte schreiben Sie uns unter Angabe von Vornamen, Nachnamen und E-Mailadresse der zu hinterlegenden Person eine Nachricht an dskit@iitr.de "
Erhalten wir Zugang zu allen Datenschutzunterlagen?,"Im Datenschutz-Kit finden Sie alle erforderlichen Vorlagen, um die Datenschutzkonformität Ihrer Organisation nachzuweisen. Bitte denken Sie daran, dass die Vorlagen noch mit Ihren Unternehmensspezifika zu versehen und zu finalisieren sind. "
"Kriegen wir auch Schulungen, damit wir unsere Mitarbeiter ab und zu mal beim Datenschutz auf den Stand bringen?","Über das Datenschutz-Kit können Sie im Bereich ""eLearning"" auf eine Auswahl von Schulungsmodulen zugreifen, mithilfe derer Sie Ihre Beschäftigten unter anderem im Bereich Datenschutz unterweisen können. Unter ""Statistik"" finden Sie die Dokumentation der absolvierten und nicht absolvierten Schulungen. "
Kann ich Sie als Datenschutzbeauftragter auf meiner Webseite angeben?,"Wenn Sie uns als Ihren externen Datenschutzbeauftragten bestellt haben, können Sie uns auf Ihrer Webseite sowie in Verträgen und bei der zuständigen Datenschutzaufsichtsbehörde mit den folgenden Kontaktdaten benennen: IITR Datenschutz GmbH, Dr. Sebastian Kraska, Marienplatz 2, 80331 München, E-Mail: email@iitr.de, Telefon: 089 189 173 60"
"Wir sind Datenschutz-Kit Basis Kunde, brauchen aber unbedingt tiefergehende Beratung, wie können Sie uns da helfen?","Wir können die Beratung im Rahmen einer Beratungsstunde zu 180€ netto (Abrechnung im 10-Minuten-Takt) darstellen oder ein Upgrade auf das Datenschutz-Kit Plus anbieten, sofern Sie dieses nicht bereits bestellt haben. Das Datenschutz-Kit Plus beinhaltet neben einem Onboarding auch ein umfassendes Beratungskontingent und ein jährliches Audit, sowie umfassenden Zugriff auf alle eLearning Schulungen. Bei näherem Interesse können Sie uns gerne unter dskit@iitr.de kontaktieren. "
Machen Sie ein Audit?,"Wir überprüfen Ihren allgemein Datenschutz-Status anhand der im Datenschutz-Kit hinterlegten Unterlagen. Hierfür sollten die einzelnen Kapitel bearbeitet und die Nachweise im Datenschutz-Kit hochgeladen sein. Sie erhalten einen umfassenden Audit-Report über Ihren Datenschutz-Status. Der Aufwand hierfür beträgt 360,- EUR zzgl. USt. Bitte senden Sie uns für die Beauftragung eine E-Mail an dskit@iitr.de "
Wie kann ein weiterer Mitarbeiter auf das Datenschutz-Kit zugreifen?,Wir richten gerne einen weiteren Benutzerzugang ein. Bitte schicken Sie uns ein E-Mail an dskit@iitr.de unter Angabe des Vor- und Nachnamens sowie der entsprechenden Email Adresse. 
Wie kann ich ein zusätzliches Benutzerkonto einrichten?,Wir richten gerne einen weiteren Benutzerzugang ein. Bitte schicken Sie uns ein E-Mail an dskit@iitr.de unter Angabe des Vor- und Nachnamens sowie der entsprechenden Email Adresse. 
Im Rahmen unseres anstehenden TISAX Audits müssen wir genau die Inhalte unserer Schulungen aus dem Datenschutz Kit angeben. Haben Sie eine solche Übersicht für mich?,Innerhalb des Datenschutz-Kits finden Sie unter Kapitel 11 im Unterpunkt 3 eine entsprechende Übersicht bezüglich der Schulungsinhalte. 
Übernehmen Sie die Meldung des externen Datenschutzbeauftragten?,"Die Meldung des Datenschutzbeauftragten bei der zuständigen Datenschutzaufsichtsbehörde muss durch den Verantwortlichen erfolgen. Wenn Sie uns als Ihren externen Datenschutzbeauftragten bestellt haben, sollten Sie die Meldung bei Ihrer zuständigen Datenschutzbehörde bitte selbstständig vornehmen. Weitere Informationen hierzu finden Sie unter Kapitel 1 des Datenschutz-Kits."
